,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10408,Louis C.K.,Let's Talk Some Shit,4PIoUeWjAd8NYTqbqIZ29U,23,2012,comedy,0.692,0.552,1,-15.668,1,0.96,0.845,0.0,0.723,0.244,83.376,81500,4
10409,Professor Elemental,Everything Stops for Tea,06c8IfnXYYgKxw2BGHcEBq,26,2012,comedy,0.794,0.809,0,-3.195,1,0.126,0.352,5.37e-06,0.133,0.843,116.05,133046,4
10410,George Lopez,Talking Sh*t,0fSMMW9lKoVZjKJMEAnfKC,18,2012,comedy,0.434,0.995,5,-4.527,0,0.923,0.884,3.26e-06,0.995,0.0381,87.882,364840,3
10411,Patrice O'Neal,Hate People Touching Me,5kKSAFq5opRmJv3EsMH6qi,18,2012,comedy,0.524,0.737,0,-11.01,1,0.897,0.87,0.0,0.966,0.654,120.049,267348,4
10412,Mr.B The Gentleman Rhymer,Curtsey for Me,6lVqqSlZ7nj8g2SrCG24Ar,23,2012,comedy,0.769,0.776,2,-7.889,1,0.102,0.0494,5.46e-06,0.0735,0.903,111.989,167187,4
10413,Bret Ernst,True Independent,3ceIHOyWak186T2W5Bpjzy,19,2012,comedy,0.619,0.386,6,-11.139,1,0.854,0.843,0.0,0.885,0.642,90.077,97840,5
10414,Bret Ernst,Magic Tricks,1pxaL1pskX2Q0L7VNhAE0n,19,2012,comedy,0.603,0.572,11,-10.438,1,0.905,0.858,0.0,0.95,0.531,109.049,83093,4
10415,Bret Ernst,It's American,7AFCAfBrmElevyzBF6h4Nq,19,2012,comedy,0.655,0.319,8,-14.969,0,0.924,0.863,0.0,0.722,0.716,85.166,54000,3
10416,Bret Ernst,Sh@#tcake Factory,1dgdK1IU1hUM8YtUZSyVaT,19,2012,comedy,0.532,0.674,11,-8.183,1,0.946,0.848,0.0,0.859,0.604,75.788,139773,4
10417,George Lopez,Latinos Work,1Qd5wJKbWtuxlOy2NuHqHi,18,2012,comedy,0.297,0.994,0,-4.427,1,0.887,0.83,6.08e-05,0.969,0.0351,76.521,296080,5
10418,Stephen Lynch,No Meat,07ifhJCpYi1hjZKd1xaXJA,21,2012,comedy,0.44,0.292,5,-10.516,1,0.0328,0.824,5.72e-05,0.131,0.349,142.437,252960,3
